Month/Year,,,1 Sectoral Classification,,,2 Use-Based Classification,,,,,,
,,General Index,1.1 Mining,1.2 Manufacturing,1.3 Electricity,2.1 Primary Goods,2.2 Capital Goods,,2.3 Intermediate Goods,2.4 Infrastructure/ Construction Goods,2.5 Consumer Durables,2.6 Consumer Non-Durables
  Weight,,100,14.37,77.63,7.99,34.05,8.22,,17.22,12.34,12.84,15.33
2024:11 (NOV),,148.4,133.8,147.4,184.1,147.7,106.8,,158.8,180.6,120.5,158.1
2024:10 (OCT),,150.2,128.5,148.3,207.8,149.8,109.4,,164.8,184.4,130,146.1
2024:09 (SEP),,146.7,111.7,147,206.9,141.3,116.6,,159.8,178.4,133.1,145.7
2024:08 (AUG),,145.8,107.1,146.1,212.3,141.6,107.4,,162.3,181.5,129.8,141.8
2024:07 (JUL),,149.8,116.1,148.8,220.2,150.1,114,,164.6,179.7,126.6,147.1
2024:06 (JUN),,150.7,134.9,146.2,222.8,156,111.5,,158.9,183.1,127,144.5
2024:05 (MAY),,154.7,136.5,150.4,229.3,160.9,105.3,,162.4,186.3,130.2,154
2024:04 (APR),,148,130.9,144.6,212,152.2,95,,157.8,184.2,119.5,150.9
2024:03 (MAR),,160,156.2,156.2,204.2,163.1,131.1,,168.2,195.2,129.9,155.2
2024:02 (FEB),,147.1,139.7,144.4,187.2,148.2,106,,157.7,179.8,121.7,149.4
2024:01 (JAN),,153.6,144.3,150.8,197.1,154.3,108.3,,163.8,186.6,121.4,164.9
2023:12 (DEC),,152.3,139.5,151.6,181.6,151.9,103.8,,159.8,180.3,114.5,179.7
2023:11 (NOV),,141.1,131.3,139.3,176.3,143.8,98,,151.3,164.2,106.5,157.2
2023:10 (OCT),,144.9,127.4,142.1,203.8,146.1,106.1,,157.5,175.9,123,142.4
2023:09 (SEP),,142.3,111.5,141.5,205.9,138.8,112.6,,154.2,172.8,125,142.6
2023:08 (AUG),,145.8,111.9,144.4,220.5,145.4,107.4,,157.4,176.8,123.2,148.3
2023:07 (JUL),,142.7,111.9,142.1,204,141.8,102.1,,153.8,170.3,117,153.5
2023:06 (JUN),,143.9,122.3,141.6,205.2,146.7,107.4,,154.2,170.9,116.8,146.7
2023:05 (MAY),,145.6,128.1,143.1,201.6,149.9,102.6,,156.9,173.2,115.6,149.8
2023:04 (APR),,140.7,122.6,138.8,192.3,142.1,92.6,,150.1,172.2,107.9,153.9
2023:03 (MAR),,151.7,154.2,147.5,188,158.3,123,,159.4,181.7,118.6,147.5
2023:02 (FEB),,139.3,129.2,137.6,174,139.9,104.9,,145.1,165.7,108.3,154.8
2023:01 (JAN),,147.4,136.1,145.5,186.6,149.9,104.9,,155.6,176.9,108.8,164.4
2022:12 (DEC),,145.9,132.6,144.9,179.4,145,100.1,,154.1,170.9,108.8,174.4
2022:11 (NOV),,137.7,122.7,137.5,166.7,132.6,99.1,,146.3,161.7,111.9,162.7
2022:10 (OCT),,129.5,112.6,128.5,169.3,131.2,87.2,,143.8,156.2,106.1,130.3
2022:09 (SEP),,133.8,100,134.6,187.4,128.5,103.9,,145.3,156.9,123.8,138.9
2022:08 (AUG),,131.5,99.6,131.3,191.3,129.4,95,,146.6,152.8,116.2,134.9
2022:07 (JUL),,134.4,101.1,135,188.9,131.7,97.1,,149,151.3,121.4,141.7
2022:06 (JUN),,138.3,113.7,136.8,196.9,139.3,104.4,,146.6,150.8,125.3,145.9
2022:05 (MAY),,137.8,120.4,134.6,199.9,144.7,94.9,,151.7,153.3,113.9,137.5
2022:04 (APR),,134.5,116.6,131.6,194.5,139.5,88.5,,149.5,149.7,110.7,138.9
2022:03 (MAR),,148.8,144.4,145.3,191,153.2,111.8,,156.6,169.5,128.9,150.3
2022:02 (FEB),,131.4,123.3,129.9,160.8,130.8,94.5,,143.7,152,112.9,137.6
2022:01 (JAN),,139.3,124.9,139.2,165.6,136.5,94.9,,153.5,158.9,118.5,154.4
2021:12 (DEC),,138.8,120.4,139.8,162.5,133.7,92.9,,151.8,154,122.5,161.6
2021:11 (NOV),,128,111.8,128.9,147.9,126.5,82.1,,141.3,141.5,106.6,147.9
2021:10 (OCT),,135,109.8,136.4,167.3,128.5,89.8,,147.2,153.6,129.5,149.7
2021:09 (SEP),,129.5,95.1,131.9,167.9,117.3,93.3,,142.9,145,131,147.3
2021:08 (AUG),,132.4,103.6,131.9,188.7,127.2,91.1,,144.7,148.3,121.6,148.3
2021:07 (JUL),,131.5,104.6,131,184.7,128.5,92.4,,143.7,144.4,118.7,145.9
