Year/Month,SDR,,US Dollar,,Pound Sterling,,Japanese Yen,,Euro,
,Average,End-month,Average,End-month,Average,End-month,Average,End-month,Average,End-month
1,2,3,4,5,6,7,8,9,10,11
Dec-24,111.3193,,84.9862,85.6232,107.4811,107.4645,55.359,54.82,89.0267,89.0852
Nov-24,111.2033,,84.3644,84.4971,107.5732,107.4612,54.9428,56.31,89.6349,89.3568
Oct-24,112.2289,,84.0295,84.0886,109.6486,108.9508,56.0932,55.03,91.5743,91.2505
Sep-24,113.0957,113.649,83.8082,83.7888,110.7432,112.1597,58.5845,59.11,93.0684,93.534
Aug-24,112.4286,112.941,83.8963,83.8709,108.5658,110.4966,57.3881,57.86,92.4101,92.9083
Jul-24,110.7368,111.247,83.5947,83.744,107.3732,107.5463,52.9245,54.78,90.5941,90.6222
Jun-24,110.1555,109.77,83.4709,83.4534,106.1642,105.464,52.8642,51.86,89.8949,89.249
May-24,110.297,110.249,83.3929,83.2988,105.2984,105.9283,53.5265,53.08,90.1018,90.121
Apr-24,110.0456,110.072,83.406,83.5187,104.375,104.6411,54.2072,53.25,89.4364,89.3405
Mar-24,110.352,110.339,82.9976,83.3739,105.5369,105.2935,55.4244,55.09,90.2684,90.2178
Feb-24,110.0335,110.088,82.9636,82.9246,104.7995,105.0317,55.527,55.36,89.5511,89.8621
Jan-24,110.8691,110.487,83.121,83.0805,105.6041,105.3084,57.061,56.2,90.7675,89.8826
Dec-23,111.0251,111.491,83.2787,83.1164,105.4188,106.1053,57.8055,58.82,90.8405,92.0049
Nov-23,110.2074,111.129,83.298,83.35,103.3649,105.8684,55.61,56.68,89.9942,91.4816
Oct-23,109.1521,109.427,83.2353,83.2692,101.2307,101.1643,55.6465,55.42,87.8361,88.3236
Sep-23,109.6104,109.12,83.0475,83.058,103.0288,101.6713,56.2595,55.81,88.7431,87.9379
Aug-23,110.3529,109.957,82.7854,82.6784,105.2534,105.0931,57.2267,56.63,90.3695,90.2242
Jul-23,110.5322,110.454,82.1519,82.2481,105.8135,105.7645,58.2619,58.06,90.8398,90.5787
Jun-23,109.6979,109.123,82.2337,82.0428,103.806,103.5074,58.2648,56.77,89.0688,89.1258
May-23,110.3579,109.751,82.3433,82.6773,102.7272,102.3787,60.0362,59.3,89.4751,88.3572
Apr-23,110.6217,110.162,82.0208,81.7829,101.9777,102.0274,61.3647,60.36,89.872,90.0871
Mar-23,109.9368,110.601,82.2886,82.2169,99.8088,101.8728,61.522,61.8,88.04,89.6076
Feb-23,110.5635,109.866,82.6086,82.6816,99.8972,99.601,62.198,60.68,88.5322,87.5471
Jan-23,110.0512,110.222,81.8996,81.7387,100.0794,100.8983,62.7962,62.77,88.2133,88.5982
Dec-22,109.4442,110.285,82.4642,82.7862,100.3912,99.7436,61.1405,62.45,87.2945,88.1496
Nov-22,106.4649,107.287,81.8105,81.597,96.086,97.7543,57.5452,58.95,83.4606,84.4507
Oct-22,105.3993,105.735,82.3401,82.3934,92.8193,95.5351,55.9983,55.74,80.8815,81.9232
Sep-22,103.5472,104.377,80.2316,81.5522,90.8547,90.7703,56.0705,56.44,79.459,80.1093
Aug-22,104.5849,103.971,79.5551,79.7194,95.4108,93.3546,58.8463,57.54,80.501,79.712
Jul-22,104.8758,105.121,79.6016,79.4203,95.4947,96.8986,58.2295,59.73,81.1492,81.1675
Jun-22,104.4893,104.818,78.0746,78.9421,96.2423,95.9557,58.3236,57.96,82.5586,82.5803
May-22,103.7894,104.823,77.3193,77.6641,96.3058,97.8676,60.0205,60.73,81.8148,83.4107
Apr-22,103.8599,102.737,76.1678,76.4242,98.4685,95.7086,60.1967,58.66,82.2865,80.5807
Mar-22,105.3532,104.796,76.2445,75.8071,100.3905,99.5524,64.2748,62.23,83.9302,84.6599
Feb-22,105.1086,105.296,75.0031,75.4882,101.5163,100.9207,65.1016,65.34,84.9742,84.2614
Jan-22,104.2082,104.338,74.4416,74.9674,100.9567,100.6332,64.7675,64.92,84.3004,83.7026
Dec-21,105.5967,105.457,75.3725,74.3025,100.2905,100.3014,66.1557,64.54,85.1921,84.045
Nov-21,104.5677,105.184,74.4965,75.0885,100.2397,99.9863,65.3216,66.34,84.9463,84.9366
Oct-21,105.8014,105.85,74.9153,74.7858,102.4805,103.1097,66.3068,65.86,86.8975,87.2616
Sep-21,104.6052,104.616,73.5634,74.2551,101.0523,99.8647,66.7614,66.35,86.6013,86.1379
Aug-21,105.4754,104.189,74.1846,73.1536,102.3972,100.951,67.528,66.6,87.3473,86.5324
Jul-21,106.0742,106.282,74.527,74.3871,102.9714,103.7269,67.5743,67.89,88.1296,88.3882
Jun-21,105.5883,106.048,73.5583,74.3456,103.2147,102.9478,66.8173,67.28,88.6642,88.5035
May-21,105.6429,104.941,73.2677,72.5211,103.0902,102.8678,67.1105,66.08,88.9244,88.4216
Apr-21,106.3904,106.296,74.4722,74.0232,103.1291,103.1592,68.3471,68.02,89.1994,89.6905
Mar-21,103.9188,104.171,72.7928,73.5047,100.8833,100.9509,67.0171,66.36,86.7225,86.099
Feb-21,104.7689,105.125,72.7565,73.0408,100.806,101.8953,69.1,68.78,88.0341,88.7967
Jan-21,105.4789,105.109,73.1094,72.9519,99.7296,100.0151,70.5135,69.82,89.0529,88.301
Dec-20,105.8884,106.311,73.5937,73.0536,98.8917,99.5974,70.8905,70.84,89.5534,89.7931
Nov-20,105.543,105.436,74.2198,73.7983,97.8952,98.7057,71.1011,70.97,87.72,88.0222
Oct-20,103.9132,104.449,73.4581,73.9732,95.4062,96.3269,69.793,70.87,86.5146,86.9654
Sep-20,103.7819,103.876,73.4817,73.7978,95.3087,94.7347,69.5982,69.91,86.6641,86.5688
Aug-20,105.4283,104.425,74.6719,73.5951,98.0765,98.1297,70.4395,69.67,88.3365,87.5742
Jul-20,104.4374,105.658,74.9934,74.7722,94.9292,98.1719,70.2426,71.64,85.9289,88.8737
Jun-20,104.45,103.902,75.7268,75.527,94.8812,92.6892,70.38,70.15,85.2511,84.6658
May-20,103.1658,103.775,75.6599,75.6369,93.0224,93.3127,70.575,70.56,82.4752,83.9146
